TweetDate,TweetText,TweetAuthor,TweetLocation,AllHashtags
2021-03-25 23:52:49,Safe and effective. Get your #Covidvaccine https://t.co/56It0sHp7o,AricGiddensMD,"Memphis, TN",['Covidvaccine']
2021-03-25 23:52:43,"FINALLY!!!!
after a week of fruitless online search, got my first appointment to no longer be a potential plague spreader. 

thanks goes in part to my extra Covid pounds, couldn't have done it without you

#vaccinated #CovidVaccine https://t.co/rH3e7JpuwK",Rzhevsky,"Longmont, CO","['vaccinated', 'CovidVaccine']"
2021-03-25 23:52:38,"A good day, indeed! Booked my parents in for their 1st dose of their #CovidVaccination!!! They get their first jab on the 1st of April!!! (not an April Fool's joke!) Couldn't be happier for them!😁 #COVID19 #CovidVaccine",anagin40,"Vancouver, BC, Canada","['CovidVaccination', 'COVID19', 'CovidVaccine']"
2021-03-25 23:52:37,"RT @VoteCMcCullough: “Look West” ⁦@GovernorVA⁩. 
Perhaps borrowing some ideas from #WestVirginia (e.g. using #NationalGuard to distribute)…",Native_Embassy,,"['WestVirginia', 'NationalGuard']"
2021-03-25 23:52:31,RT @Mkstyleandmore1: #SoundsGood I know I got thru 2 her. I would unblock 'SCROOGE' @CushmanMLB right now if I could cos him &amp; I agree on t…,Mkstyleandmore1,United States,['SoundsGood']
2021-03-25 23:52:29,"RT @IshatReza: Note, Ontario will be received almost 800K doses of the #CovidVaccine this week from Pfizer &amp; Moderna. More from AZ coming s…",1bramptonmom,,['CovidVaccine']
2021-03-25 23:52:28,RT @CaccioppoliMike: I wonder how many people are getting the #CovidVaccine simply out of political/peer pressure?,JoesGirl20,here,['CovidVaccine']
2021-03-25 23:52:28,"2 Rite Aids show #CovidVaccine slots in VA:
Colonial Heights (23834)
Portsmouth (23701)
https://t.co/ZqarnP6tEX",FinderVaccine,,['CovidVaccine']
2021-03-25 23:52:25,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",michawarren,United States,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:52:24,#SoundsGood I know I got thru 2 her. I would unblock 'SCROOGE' @CushmanMLB right now if I could cos him &amp; I agree on this matter but what he said against the #IAskForHelpBecause Campaign is another story too #Personal 4 right now. 99% chance #Covid19Vaccine would wound her heart!,Mkstyleandmore1,United States,"['SoundsGood', 'IAskForHelpBecause', 'Personal', 'Covid19Vaccine']"
2021-03-25 23:52:20,"RT @axidentaliberal: Are we finally done with this nonsense story about Biden doing a press conference

We've got a country to fix

We are…",SylviaMSoto2,"Ohio, USA",[]
2021-03-25 23:52:18,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",CarolGrandma1,"Sayville, NY","['KrispyKreme', 'vaccinated']"
2021-03-25 23:52:13,"RT @camwolfe: I’m so proud of my “fellow Fellow”, ⁦@snaggie1⁩ , hubby ⁦@CharlesJGerardo⁩ and most importantly, their wonderful daughters!!…",donaldhtaylorjr,"Durham, NC",[]
2021-03-25 23:51:35,"51 Rite Aids show #CovidVaccine slots in CA:
Bakersfield
Banning
Beaumont
Desert Hot Springs
Fresno
Kerman
Los Angeles
Merced
Needles
Phelan
Redding
Redondo Beach
Rosamond
Sacramento
San Bernardino
Selma
Temecula
Torrance
Twentynine Palms
Victorville",VaccineCa,,['CovidVaccine']
2021-03-25 23:51:26,"RT @TorontoFarmEN: Media and government prefer to exaggerate the danger of NOT taking the #CovidVaccine, while downplay side effects
📌Unsaf…",forestcui02,,['CovidVaccine']
2021-03-25 23:50:53,It is COMPLETE. #vaccinated https://t.co/PDfDuQGkvO,Infernowolf10,"Auburn, WA",['vaccinated']
2021-03-25 23:50:25,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,saintamourmi,Speeding through South Dakota,[]
2021-03-25 23:50:19,"RT @drnmatara: 5269 people reportedly vaccinated today 👏👏👏... way to go. Good to hear.  Ngazviende mberi! 
Vaccines are safe
Vaccines save…",saxonzvina2,Harare,[]
2021-03-25 23:50:18,"RT @VaccineFairy: Happy Vaccination Day 
@RonDMoore
!! We are happy to have sprinkled a little Fairy dust your way. 

If you need help book…",COIndependent1,"Colorado, USA",[]
2021-03-25 23:50:10,"RT @BJSurgery: 🆕🆓Very important #OpenAccess🔓BJS paper on preop #Covid19 vaccines out today:

SARS-CoV-2 vaccination modelling for safe surg…",BadenesR,,"['OpenAccess', 'Covid19']"
2021-03-25 23:50:03,RT @healthgovau: We are so excited to be partnering with  @UNICEFAustralia  to help build vaccine confidence in the Australian community.…,nicolebreeze,Sydney,[]
2021-03-25 23:50:02,"RT @axidentaliberal: Are we finally done with this nonsense story about Biden doing a press conference

We've got a country to fix

We are…",Debp197,Alberta,[]
2021-03-25 23:50:00,Oh. Looks like my age group is up for the #CovidVaccine https://t.co/gk3TfX1uP4,The_Don7684,"Indiana, USA",['CovidVaccine']
2021-03-25 23:49:56,RT @GPPharmaSid: Great succinct talk by @AliRacaniere at the @SouthAsianHF virtual conference to emphasise that #Muslims can get their #Cov…,bromleydiabetic,"Bromley, Kent",['Muslims']
2021-03-25 23:49:53,RT @unicefaustralia: Look at the ✌️ for #vaccinated taking the Solomon Islands by storm. Incredible work by the @UNICEFPacific team to get…,nicolebreeze,Sydney,['vaccinated']
2021-03-25 23:49:45,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",AngieMcNamer,"East Dubuque, IL","['KrispyKreme', 'vaccinated']"
2021-03-25 23:49:37,"Jerk journo hectoring @SenTedCruz to put a #mask on coz ""we'd all feel safer"" says a LOT.
""We"" means ALL journos think alike!
The ""feel safer"", despite #SocialDistancing AND #TedCruz's #CovidVaccine jab, shows #MSM just wants to push fear on the USA. Kudos Ted for NOT allowing it",ScorpioOx61,"Geelong, Victoria, Australia","['mask', 'SocialDistancing', 'TedCruz', 'CovidVaccine', 'MSM']"
2021-03-25 23:49:32,"Effective 4/1/21, all CA residents ages 50 and up qualify for the COVID-19 vaccine (ages 16 and up starting 4/15/21).  💉❤️

Here are the #'s for OC and CA as of today! 

""A little progress each day adds up to big results!""

#COVID19
#GetVaccinated
#VaccinateAll58
#COVID19Vaccine https://t.co/KO5ErAD7qi",VocVisions,"26041 Pala, Mission Viejo, CA","['COVID19', 'GetVaccinated', 'VaccinateAll58', 'COVID19Vaccine']"
